Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
AKAZE,120.761,162,BRIEF,3.40438,AKAZE,126.7,157,BRIEF,2.84446,MAT_FLANN,SEL_KNN,2.46403,106
AKAZE,110.044,159,BRIEF,3.02963,MAT_FLANN,SEL_KNN,3.03944,115
AKAZE,115.811,154,BRIEF,2.7764,MAT_FLANN,SEL_KNN,2.7257,110
AKAZE,110.802,162,BRIEF,2.92878,MAT_FLANN,SEL_KNN,2.53076,110
AKAZE,112.462,163,BRIEF,2.49752,MAT_FLANN,SEL_KNN,2.60991,117
AKAZE,127.33,173,BRIEF,2.82963,MAT_FLANN,SEL_KNN,3.14573,129
AKAZE,114.958,175,BRIEF,3.65113,MAT_FLANN,SEL_KNN,3.63779,133
AKAZE,122.797,175,BRIEF,2.65805,MAT_FLANN,SEL_KNN,2.34187,135
AKAZE,110.286,175,BRIEF,4.05771,MAT_FLANN,SEL_KNN,3.15448,128
