Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
SHITOMASI,43.9548,125,ORB,9.75913,SHITOMASI,16.9075,118,ORB,5.56246,MAT_FLANN,SEL_NN,5.49723,125
SHITOMASI,19.669,123,ORB,6.04146,MAT_FLANN,SEL_NN,2.15509,118
SHITOMASI,19.3938,120,ORB,4.50703,MAT_FLANN,SEL_NN,2.18077,123
SHITOMASI,19.7843,120,ORB,5.3697,MAT_FLANN,SEL_NN,3.39017,120
SHITOMASI,15.5704,113,ORB,4.47958,MAT_FLANN,SEL_NN,1.38452,120
SHITOMASI,16.3332,114,ORB,3.77183,MAT_FLANN,SEL_NN,2.03064,113
SHITOMASI,17.9343,123,ORB,4.43788,MAT_FLANN,SEL_NN,2.07111,114
SHITOMASI,16.1672,111,ORB,7.19835,MAT_FLANN,SEL_NN,1.52034,123
SHITOMASI,16.2457,112,ORB,4.58381,MAT_FLANN,SEL_NN,2.07161,111
