Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
AKAZE,143.755,162,FREAK,43.9037,AKAZE,110.63,157,FREAK,39.0073,MAT_FLANN,SEL_NN,4.89309,162
AKAZE,128.429,159,FREAK,44.5845,MAT_FLANN,SEL_NN,3.13764,157
AKAZE,126.428,154,FREAK,43.4278,MAT_FLANN,SEL_NN,3.20448,159
AKAZE,141.057,162,FREAK,39.7916,MAT_FLANN,SEL_NN,2.98222,154
AKAZE,128.388,163,FREAK,48.0086,MAT_FLANN,SEL_NN,3.5926,162
AKAZE,164.623,173,FREAK,62.5258,MAT_FLANN,SEL_NN,7.82424,163
AKAZE,134.556,175,FREAK,67.8109,MAT_FLANN,SEL_NN,2.64537,173
AKAZE,145.957,175,FREAK,50.2922,MAT_FLANN,SEL_NN,3.1486,175
AKAZE,146.83,175,FREAK,50.0165,MAT_FLANN,SEL_NN,2.7992,175
