Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
BRISK,644.642,254,ORB,73.6664,BRISK,469.671,274,ORB,43.6475,MAT_BF,SEL_KNN,10.957,153
BRISK,485.811,276,ORB,37.5686,MAT_BF,SEL_KNN,2.72952,164
BRISK,513.221,275,ORB,43.1496,MAT_BF,SEL_KNN,2.72361,155
BRISK,524.312,293,ORB,36.0628,MAT_BF,SEL_KNN,6.95263,165
BRISK,469.63,275,ORB,36.9476,MAT_BF,SEL_KNN,5.00654,150
BRISK,491.311,289,ORB,36.363,MAT_BF,SEL_KNN,2.48152,179
BRISK,492.498,268,ORB,43.5434,MAT_BF,SEL_KNN,2.59457,169
BRISK,675.128,259,ORB,46.9935,MAT_BF,SEL_KNN,3.72641,173
BRISK,523.343,250,ORB,43.1801,MAT_BF,SEL_KNN,2.8133,171
