Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
ORB,102.922,91,FREAK,48.0746,ORB,13.6085,102,FREAK,36.2153,MAT_BF,SEL_NN,1.39282,45
ORB,12.2682,106,FREAK,37.2385,MAT_BF,SEL_NN,0.233575,53
ORB,11.5612,113,FREAK,40.4471,MAT_BF,SEL_NN,0.154127,56
ORB,15.744,109,FREAK,47.0744,MAT_BF,SEL_NN,0.161719,65
ORB,12.2086,124,FREAK,35.4975,MAT_BF,SEL_NN,0.154263,55
ORB,15.8818,129,FREAK,32.9003,MAT_BF,SEL_NN,0.151862,64
ORB,10.6343,127,FREAK,36.5773,MAT_BF,SEL_NN,0.183139,66
ORB,10.879,124,FREAK,35.1068,MAT_BF,SEL_NN,0.236965,70
ORB,9.81513,125,FREAK,33.7862,MAT_BF,SEL_NN,0.151025,71
