Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
ORB,57.9655,91,BRIEF,5.12639,ORB,20.8297,102,BRIEF,0.848863,MAT_BF,SEL_KNN,7.60743,49
ORB,9.14368,106,BRIEF,1.53187,MAT_BF,SEL_KNN,0.348934,43
ORB,10.0824,113,BRIEF,0.707273,MAT_BF,SEL_KNN,0.265198,45
ORB,9.82323,109,BRIEF,0.549853,MAT_BF,SEL_KNN,0.389861,59
ORB,15.9318,124,BRIEF,1.03032,MAT_BF,SEL_KNN,0.492917,53
ORB,12.9317,129,BRIEF,1.03323,MAT_BF,SEL_KNN,0.359787,76
ORB,11.3426,127,BRIEF,1.08225,MAT_BF,SEL_KNN,0.30834,67
ORB,9.88332,124,BRIEF,0.801275,MAT_BF,SEL_KNN,0.366487,83
ORB,10.815,125,BRIEF,2.27096,MAT_BF,SEL_KNN,0.327841,65
