Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
SHITOMASI,28.2407,125,ORB,6.63706,SHITOMASI,19.1654,118,ORB,6.01145,MAT_FLANN,SEL_KNN,2.74833,86
SHITOMASI,20.4453,123,ORB,5.06007,MAT_FLANN,SEL_KNN,2.2494,83
SHITOMASI,21.6346,120,ORB,4.93996,MAT_FLANN,SEL_KNN,2.4642,87
SHITOMASI,16.5494,120,ORB,6.61949,MAT_FLANN,SEL_KNN,2.53003,90
SHITOMASI,19.4509,113,ORB,5.22685,MAT_FLANN,SEL_KNN,2.08759,83
SHITOMASI,19.5176,114,ORB,5.02864,MAT_FLANN,SEL_KNN,3.86741,77
SHITOMASI,19.2836,123,ORB,6.24558,MAT_FLANN,SEL_KNN,2.34936,85
SHITOMASI,19.0582,111,ORB,5.75505,MAT_FLANN,SEL_KNN,2.79914,86
SHITOMASI,21.7641,112,ORB,4.60159,MAT_FLANN,SEL_KNN,1.62459,88
