Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
BRISK,268.499,254,FREAK,40.7441,BRISK,251.03,274,FREAK,35.0184,MAT_FLANN,SEL_NN,25.0676,234
BRISK,233.783,276,FREAK,35.641,MAT_FLANN,SEL_NN,4.08561,252
BRISK,279.97,275,FREAK,36.672,MAT_FLANN,SEL_NN,5.80234,257
BRISK,278.359,293,FREAK,33.3109,MAT_FLANN,SEL_NN,6.00855,262
BRISK,246.717,275,FREAK,37.5321,MAT_FLANN,SEL_NN,5.3511,270
BRISK,269.48,289,FREAK,31.4178,MAT_FLANN,SEL_NN,5.35443,252
BRISK,268.927,268,FREAK,31.6094,MAT_FLANN,SEL_NN,6.20058,269
BRISK,275.135,259,FREAK,40.2926,MAT_FLANN,SEL_NN,4.09293,251
BRISK,235.618,250,FREAK,38.5049,MAT_FLANN,SEL_NN,3.79125,236
