Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
AKAZE,176.498,162,BRIEF,10.8738,AKAZE,116.428,157,BRIEF,3.48105,MAT_BF,SEL_NN,4.93673,162
AKAZE,111.216,159,BRIEF,3.0839,MAT_BF,SEL_NN,0.636558,157
AKAZE,124.228,154,BRIEF,2.85351,MAT_BF,SEL_NN,0.579132,159
AKAZE,115.288,162,BRIEF,3.00726,MAT_BF,SEL_NN,0.496438,154
AKAZE,102.838,163,BRIEF,1.18497,MAT_BF,SEL_NN,0.853216,162
AKAZE,98.787,173,BRIEF,3.33796,MAT_BF,SEL_NN,0.648883,163
AKAZE,98.8043,175,BRIEF,2.91554,MAT_BF,SEL_NN,0.624288,173
AKAZE,101.976,175,BRIEF,2.64812,MAT_BF,SEL_NN,0.637592,175
AKAZE,97.624,175,BRIEF,2.9452,MAT_BF,SEL_NN,0.476716,175
