Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
BRISK,280.022,254,ORB,30.6478,BRISK,214.427,274,ORB,17.8484,MAT_FLANN,SEL_KNN,15.0947,97
BRISK,237.239,276,ORB,29.4746,MAT_FLANN,SEL_KNN,13.5496,102
BRISK,232.237,275,ORB,16.3005,MAT_FLANN,SEL_KNN,3.60832,88
BRISK,207.866,293,ORB,11.6005,MAT_FLANN,SEL_KNN,6.55274,100
BRISK,201.628,275,ORB,12.4582,MAT_FLANN,SEL_KNN,5.46097,83
BRISK,209.509,289,ORB,12.8793,MAT_FLANN,SEL_KNN,4.09313,112
BRISK,222.517,268,ORB,12.3665,MAT_FLANN,SEL_KNN,3.53953,113
BRISK,203.198,259,ORB,12.3291,MAT_FLANN,SEL_KNN,3.62681,111
BRISK,199.607,250,ORB,14.6137,MAT_FLANN,SEL_KNN,3.26513,115
