Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
BRISK,249.272,254,SIFT,85.5614,BRISK,334.869,274,SIFT,78.0682,MAT_BF,SEL_KNN,2.29964,177
BRISK,284.3,276,SIFT,57.755,MAT_BF,SEL_KNN,1.6442,187
BRISK,258.27,275,SIFT,64.9161,MAT_BF,SEL_KNN,1.88831,171
BRISK,256.882,293,SIFT,66.5386,MAT_BF,SEL_KNN,1.98234,177
BRISK,300.775,275,SIFT,59.4147,MAT_BF,SEL_KNN,2.19466,168
BRISK,253.72,289,SIFT,62.6398,MAT_BF,SEL_KNN,2.12971,190
BRISK,277.847,268,SIFT,67.5705,MAT_BF,SEL_KNN,2.21255,193
BRISK,256.082,259,SIFT,59.1709,MAT_BF,SEL_KNN,1.80298,173
BRISK,278.995,250,SIFT,61.0693,MAT_BF,SEL_KNN,1.57394,181
