Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
BRISK,346.016,254,SIFT,81.0523,BRISK,291.216,274,SIFT,66.7517,MAT_FLANN,SEL_KNN,5.58441,177
BRISK,265.074,276,SIFT,68.7439,MAT_FLANN,SEL_KNN,6.33624,189
BRISK,265.132,275,SIFT,68.3931,MAT_FLANN,SEL_KNN,6.13646,172
BRISK,267.587,293,SIFT,79.534,MAT_FLANN,SEL_KNN,5.62467,182
BRISK,264.706,275,SIFT,73.2945,MAT_FLANN,SEL_KNN,8.36542,169
BRISK,278.021,289,SIFT,85.7067,MAT_FLANN,SEL_KNN,6.41608,193
BRISK,251.439,268,SIFT,68.622,MAT_FLANN,SEL_KNN,7.75835,194
BRISK,248.075,259,SIFT,64.5567,MAT_FLANN,SEL_KNN,5.5319,177
BRISK,321.908,250,SIFT,77.1318,MAT_FLANN,SEL_KNN,5.36517,182
