Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
FAST,2.88516,419,SIFT,71.0305,FAST,3.36043,427,SIFT,40.1051,MAT_FLANN,SEL_KNN,10.1708,317
FAST,2.24498,404,SIFT,47.5876,MAT_FLANN,SEL_KNN,8.4538,325
FAST,2.25659,423,SIFT,43.4549,MAT_FLANN,SEL_KNN,10.79,299
FAST,2.32154,386,SIFT,41.4543,MAT_FLANN,SEL_KNN,11.381,311
FAST,2.1872,414,SIFT,44.2684,MAT_FLANN,SEL_KNN,11.7658,291
FAST,2.60583,418,SIFT,44.1143,MAT_FLANN,SEL_KNN,13.1267,327
FAST,3.51599,406,SIFT,44.4002,MAT_FLANN,SEL_KNN,8.45055,317
FAST,1.90102,396,SIFT,45.7066,MAT_FLANN,SEL_KNN,9.75687,301
FAST,2.13621,401,SIFT,39.8721,MAT_FLANN,SEL_KNN,9.01635,301
