Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
SHITOMASI,40.7781,125,BRIEF,9.16055,SHITOMASI,14.8587,118,BRIEF,1.88812,MAT_FLANN,SEL_KNN,12.2284,96
SHITOMASI,16.3469,123,BRIEF,1.14611,MAT_FLANN,SEL_KNN,1.57774,93
SHITOMASI,15.8485,120,BRIEF,1.6339,MAT_FLANN,SEL_KNN,1.9486,91
SHITOMASI,15.8904,120,BRIEF,1.72198,MAT_FLANN,SEL_KNN,1.89433,88
SHITOMASI,15.1236,113,BRIEF,1.93305,MAT_FLANN,SEL_KNN,1.78238,92
SHITOMASI,17.9116,114,BRIEF,2.28136,MAT_FLANN,SEL_KNN,2.12876,92
SHITOMASI,14.3001,123,BRIEF,2.79635,MAT_FLANN,SEL_KNN,1.99391,85
SHITOMASI,19.2186,111,BRIEF,1.6244,MAT_FLANN,SEL_KNN,1.81762,92
SHITOMASI,18.3466,112,BRIEF,1.54519,MAT_FLANN,SEL_KNN,2.76323,85
