Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
ORB,87.1162,91,SIFT,84.3845,ORB,20.04,102,SIFT,74.7308,MAT_BF,SEL_KNN,3.69401,66
ORB,11.8821,106,SIFT,61.2509,MAT_BF,SEL_KNN,0.348622,79
ORB,11.4222,113,SIFT,61.213,MAT_BF,SEL_KNN,0.526815,78
ORB,10.4328,109,SIFT,56.783,MAT_BF,SEL_KNN,0.542575,79
ORB,9.88857,124,SIFT,60.7792,MAT_BF,SEL_KNN,0.513859,82
ORB,18.2955,129,SIFT,85.1006,MAT_BF,SEL_KNN,0.650618,93
ORB,20.5308,127,SIFT,72.5563,MAT_BF,SEL_KNN,0.611798,94
ORB,9.76864,124,SIFT,69.6772,MAT_BF,SEL_KNN,0.532613,93
ORB,10.0732,125,SIFT,79.2769,MAT_BF,SEL_KNN,0.674478,92
