Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
HARRIS,31.0014,17,FREAK,49.9216,HARRIS,21.6796,14,FREAK,38.8009,MAT_FLANN,SEL_NN,4.75602,17
HARRIS,21.7805,18,FREAK,33.8026,MAT_FLANN,SEL_NN,3.09796,13
HARRIS,23.1186,21,FREAK,29.9363,MAT_FLANN,SEL_NN,1.43933,16
HARRIS,20.7176,26,FREAK,32.0357,MAT_FLANN,SEL_NN,1.24759,20
HARRIS,30.5323,43,FREAK,30.2808,MAT_FLANN,SEL_NN,1.91042,26
HARRIS,22.4699,18,FREAK,32.0198,MAT_FLANN,SEL_NN,1.80901,38
HARRIS,23.6181,31,FREAK,31.3082,MAT_FLANN,SEL_NN,1.67042,17
HARRIS,23.8562,26,FREAK,32.1624,MAT_FLANN,SEL_NN,1.82813,30
HARRIS,34.0565,34,FREAK,29.6904,MAT_FLANN,SEL_NN,1.44822,25
