Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
ORB,99.8636,91,SIFT,75.691,ORB,13.0369,102,SIFT,68.6393,MAT_FLANN,SEL_NN,5.90694,91
ORB,10.0669,106,SIFT,70.4851,MAT_FLANN,SEL_NN,2.91083,102
ORB,11.2051,113,SIFT,73.2747,MAT_FLANN,SEL_NN,1.86096,106
ORB,7.93464,109,SIFT,59.9327,MAT_FLANN,SEL_NN,2.082,113
ORB,7.77902,124,SIFT,68.6378,MAT_FLANN,SEL_NN,1.9393,109
ORB,10.4503,129,SIFT,72.1122,MAT_FLANN,SEL_NN,2.4287,124
ORB,12.7567,127,SIFT,71.8311,MAT_FLANN,SEL_NN,4.38358,129
ORB,11.1025,124,SIFT,71.0549,MAT_FLANN,SEL_NN,2.32805,127
ORB,9.82366,125,SIFT,73.5756,MAT_FLANN,SEL_NN,3.64751,124
