Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
SHITOMASI,20.7754,125,FREAK,33.0373,SHITOMASI,15.429,118,FREAK,29.8299,MAT_FLANN,SEL_KNN,3.1629,66
SHITOMASI,16.3556,123,FREAK,31.9394,MAT_FLANN,SEL_KNN,2.78683,68
SHITOMASI,15.9597,120,FREAK,27.9319,MAT_FLANN,SEL_KNN,1.90564,66
SHITOMASI,15.1223,120,FREAK,29.0571,MAT_FLANN,SEL_KNN,2.26532,64
SHITOMASI,15.9236,113,FREAK,27.8117,MAT_FLANN,SEL_KNN,1.82627,63
SHITOMASI,14.1888,114,FREAK,33.4956,MAT_FLANN,SEL_KNN,2.69003,64
SHITOMASI,18.1543,123,FREAK,34.1036,MAT_FLANN,SEL_KNN,2.70648,63
SHITOMASI,18.1456,111,FREAK,35.0992,MAT_FLANN,SEL_KNN,2.53804,67
SHITOMASI,19.0917,112,FREAK,35.8549,MAT_FLANN,SEL_KNN,1.94303,65
