Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
HARRIS,76.9993,17,FREAK,78.3868,HARRIS,35.2937,14,FREAK,56.1569,MAT_BF,SEL_KNN,4.36459,13
HARRIS,34.4354,18,FREAK,60.1244,MAT_BF,SEL_KNN,0.564853,13
HARRIS,36.0467,21,FREAK,56.8334,MAT_BF,SEL_KNN,0.213953,15
HARRIS,34.246,26,FREAK,56.2647,MAT_BF,SEL_KNN,0.17581,15
HARRIS,55.08,43,FREAK,58.5735,MAT_BF,SEL_KNN,0.661217,17
HARRIS,35.87,18,FREAK,53.5407,MAT_BF,SEL_KNN,0.209845,20
HARRIS,35.1975,31,FREAK,55.1163,MAT_BF,SEL_KNN,0.17803,12
HARRIS,38.186,26,FREAK,58.2887,MAT_BF,SEL_KNN,0.233955,21
HARRIS,60.2268,34,FREAK,71.4442,MAT_BF,SEL_KNN,0.33964,18
