Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
ORB,72.9859,91,FREAK,42.7643,ORB,9.71807,102,FREAK,30.6853,MAT_FLANN,SEL_NN,8.25482,45
ORB,10.1508,106,FREAK,32.3096,MAT_FLANN,SEL_NN,0.93575,53
ORB,7.52608,113,FREAK,28.4111,MAT_FLANN,SEL_NN,1.10252,56
ORB,8.41701,109,FREAK,32.36,MAT_FLANN,SEL_NN,1.24575,65
ORB,7.96051,124,FREAK,40.4286,MAT_FLANN,SEL_NN,1.14409,55
ORB,11.7585,129,FREAK,39.2512,MAT_FLANN,SEL_NN,1.39789,64
ORB,12.0122,127,FREAK,37.4719,MAT_FLANN,SEL_NN,1.35127,66
ORB,15.3383,124,FREAK,36.9811,MAT_FLANN,SEL_NN,1.37132,70
ORB,11.8288,125,FREAK,43.9999,MAT_FLANN,SEL_NN,1.54257,71
