Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
SIFT,239.206,137,FREAK,43.3778,SIFT,152.354,131,FREAK,41.8823,MAT_BF,SEL_NN,7.26562,136
SIFT,165.476,121,FREAK,36.9275,MAT_BF,SEL_NN,0.353324,130
SIFT,140.251,135,FREAK,35.7689,MAT_BF,SEL_NN,0.412489,120
SIFT,156.878,134,FREAK,40.0054,MAT_BF,SEL_NN,0.500712,134
SIFT,168.574,139,FREAK,39.7043,MAT_BF,SEL_NN,0.504582,133
SIFT,149.837,136,FREAK,34.4624,MAT_BF,SEL_NN,0.390842,138
SIFT,136.201,147,FREAK,32.5118,MAT_BF,SEL_NN,0.719386,134
SIFT,142.335,156,FREAK,35.8002,MAT_BF,SEL_NN,0.48868,146
SIFT,132.381,135,FREAK,31.0041,MAT_BF,SEL_NN,0.380507,155
