Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
ORB,192.282,91,BRIEF,9.06043,ORB,11.436,102,BRIEF,3.06268,MAT_BF,SEL_NN,4.37373,91
ORB,28.3061,106,BRIEF,3.02967,MAT_BF,SEL_NN,0.427013,102
ORB,11.2855,113,BRIEF,0.877597,MAT_BF,SEL_NN,0.299172,106
ORB,12.1858,109,BRIEF,2.01892,MAT_BF,SEL_NN,0.252863,113
ORB,15.6939,124,BRIEF,2.58533,MAT_BF,SEL_NN,0.25747,109
ORB,28.5757,129,BRIEF,1.0115,MAT_BF,SEL_NN,6.99746,124
ORB,20.0405,127,BRIEF,1.59346,MAT_BF,SEL_NN,0.291036,129
ORB,9.13944,124,BRIEF,0.721989,MAT_BF,SEL_NN,0.344065,127
ORB,10.7188,125,BRIEF,1.84617,MAT_BF,SEL_NN,0.357232,124
