Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
SIFT,207.145,137,BRIEF,2.38049,SIFT,149.853,131,BRIEF,2.46113,MAT_BF,SEL_KNN,0.937697,86
SIFT,144.454,121,BRIEF,2.06128,MAT_BF,SEL_KNN,0.498089,76
SIFT,156.305,135,BRIEF,2.74994,MAT_BF,SEL_KNN,0.478097,72
SIFT,189.416,134,BRIEF,2.58602,MAT_BF,SEL_KNN,0.822274,83
SIFT,147.637,139,BRIEF,2.1615,MAT_BF,SEL_KNN,0.297607,69
SIFT,153.763,136,BRIEF,2.57295,MAT_BF,SEL_KNN,0.514865,75
SIFT,139.965,147,BRIEF,1.85066,MAT_BF,SEL_KNN,0.418267,76
SIFT,136.766,156,BRIEF,2.03656,MAT_BF,SEL_KNN,0.47781,69
SIFT,144.826,135,BRIEF,2.00068,MAT_BF,SEL_KNN,0.458154,87
