Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
SIFT,257.31,137,SIFT,90.9269,SIFT,135.937,131,SIFT,102.418,MAT_FLANN,SEL_NN,10.905,137
SIFT,153.64,121,SIFT,91.7828,MAT_FLANN,SEL_NN,4.16322,131
SIFT,135.101,135,SIFT,88.0656,MAT_FLANN,SEL_NN,2.83127,121
SIFT,185.622,134,SIFT,101.143,MAT_FLANN,SEL_NN,2.74762,135
SIFT,139.713,139,SIFT,92.0818,MAT_FLANN,SEL_NN,2.40841,134
SIFT,144.278,136,SIFT,94.5178,MAT_FLANN,SEL_NN,2.92824,139
SIFT,149.899,147,SIFT,87.5526,MAT_FLANN,SEL_NN,2.57047,136
SIFT,140.199,156,SIFT,96.6464,MAT_FLANN,SEL_NN,2.98209,147
SIFT,143.481,135,SIFT,90.1475,MAT_FLANN,SEL_NN,3.04667,156
