Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
FAST,12.5385,419,ORB,21.7759,FAST,2.24896,427,ORB,7.01182,MAT_BF,SEL_KNN,13.9487,306
FAST,3.82419,404,ORB,9.12284,MAT_BF,SEL_KNN,4.70471,314
FAST,3.79662,423,ORB,6.99077,MAT_BF,SEL_KNN,4.59142,295
FAST,3.48407,386,ORB,8.23979,MAT_BF,SEL_KNN,2.93133,318
FAST,5.3259,414,ORB,13.9562,MAT_BF,SEL_KNN,2.51544,284
FAST,5.17204,418,ORB,10.8542,MAT_BF,SEL_KNN,5.30091,312
FAST,8.20583,406,ORB,17.5478,MAT_BF,SEL_KNN,3.51042,323
FAST,3.94592,396,ORB,11.9618,MAT_BF,SEL_KNN,4.07497,306
FAST,4.37518,401,ORB,8.08663,MAT_BF,SEL_KNN,2.69058,304
