Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
FAST,6.57812,419,BRISK,217.246,FAST,2.17993,427,BRISK,179.331,MAT_BF,SEL_NN,10.6637,419
FAST,3.04713,404,BRISK,176.756,MAT_BF,SEL_NN,2.49386,427
FAST,4.10356,423,BRISK,207.962,MAT_BF,SEL_NN,2.8175,404
FAST,2.42032,386,BRISK,189.618,MAT_BF,SEL_NN,2.11152,423
FAST,2.93204,414,BRISK,212.352,MAT_BF,SEL_NN,3.94137,386
FAST,4.20297,418,BRISK,202.819,MAT_BF,SEL_NN,6.64831,414
FAST,1.80947,406,BRISK,205.865,MAT_BF,SEL_NN,2.42152,418
FAST,3.75195,396,BRISK,185.304,MAT_BF,SEL_NN,2.28578,406
FAST,2.06189,401,BRISK,183.501,MAT_BF,SEL_NN,2.69333,396
