Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
SIFT,238.994,137,SIFT,102.243,SIFT,141.673,131,SIFT,118.56,MAT_FLANN,SEL_KNN,4.11158,81
SIFT,134.68,121,SIFT,90.3795,MAT_FLANN,SEL_KNN,2.98686,80
SIFT,137.963,135,SIFT,100.589,MAT_FLANN,SEL_KNN,2.71943,82
SIFT,139.633,134,SIFT,95.6143,MAT_FLANN,SEL_KNN,3.2452,92
SIFT,145.841,139,SIFT,90.7808,MAT_FLANN,SEL_KNN,3.03862,91
SIFT,139.395,136,SIFT,89.7343,MAT_FLANN,SEL_KNN,4.58162,82
SIFT,161.131,147,SIFT,94.1662,MAT_FLANN,SEL_KNN,4.53138,82
SIFT,140.554,156,SIFT,92.0815,MAT_FLANN,SEL_KNN,3.28767,101
SIFT,144.55,135,SIFT,92.0253,MAT_FLANN,SEL_KNN,3.7256,102
