Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
SHITOMASI,99.2316,125,FREAK,89.7226,SHITOMASI,32.5271,118,FREAK,83.2081,MAT_BF,SEL_NN,8.08756,125
SHITOMASI,38.952,123,FREAK,74.5137,MAT_BF,SEL_NN,0.58856,118
SHITOMASI,43.6541,120,FREAK,69.4076,MAT_BF,SEL_NN,0.622807,123
SHITOMASI,44.7795,120,FREAK,75.5545,MAT_BF,SEL_NN,3.03297,120
SHITOMASI,48.8503,113,FREAK,76.2859,MAT_BF,SEL_NN,0.562177,120
SHITOMASI,33.6577,114,FREAK,82.259,MAT_BF,SEL_NN,0.412652,113
SHITOMASI,52.1105,123,FREAK,84.8331,MAT_BF,SEL_NN,0.543275,114
SHITOMASI,34.274,111,FREAK,78.3875,MAT_BF,SEL_NN,0.698233,123
SHITOMASI,38.8219,112,FREAK,79.9484,MAT_BF,SEL_NN,0.517453,111
