Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
AKAZE,175.176,162,ORB,17.7938,AKAZE,110.322,157,ORB,14.5631,MAT_BF,SEL_NN,3.1472,162
AKAZE,110.822,159,ORB,14.6886,MAT_BF,SEL_NN,0.551982,157
AKAZE,114.623,154,ORB,9.17964,MAT_BF,SEL_NN,0.758496,159
AKAZE,110.897,162,ORB,10.3216,MAT_BF,SEL_NN,0.53796,154
AKAZE,95.221,163,ORB,9.86116,MAT_BF,SEL_NN,0.578964,162
AKAZE,93.0651,173,ORB,11.3169,MAT_BF,SEL_NN,0.721986,163
AKAZE,98.5111,175,ORB,9.6705,MAT_BF,SEL_NN,0.61664,173
AKAZE,101.439,175,ORB,13.0016,MAT_BF,SEL_NN,0.787607,175
AKAZE,104.416,175,ORB,13.2356,MAT_BF,SEL_NN,0.562399,175
