Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
FAST,3.51601,419,BRISK,210.125,FAST,2.19146,427,BRISK,182.349,MAT_BF,SEL_KNN,3.97471,256
FAST,1.86788,404,BRISK,184.827,MAT_BF,SEL_KNN,3.25428,243
FAST,2.96713,423,BRISK,183.958,MAT_BF,SEL_KNN,3.31982,241
FAST,2.02718,386,BRISK,198.09,MAT_BF,SEL_KNN,6.13969,239
FAST,2.89157,414,BRISK,281.439,MAT_BF,SEL_KNN,4.12331,215
FAST,3.02187,418,BRISK,238.823,MAT_BF,SEL_KNN,2.77291,251
FAST,5.78773,406,BRISK,184.62,MAT_BF,SEL_KNN,4.05738,248
FAST,2.30926,396,BRISK,197.164,MAT_BF,SEL_KNN,4.30099,243
FAST,2.20982,401,BRISK,181.64,MAT_BF,SEL_KNN,3.53168,247
