Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
HARRIS,34.7845,17,ORB,6.85575,HARRIS,21.0323,14,ORB,4.46468,MAT_FLANN,SEL_KNN,5.96159,11
HARRIS,19.9333,18,ORB,5.19251,MAT_FLANN,SEL_KNN,0.400995,11
HARRIS,17.4607,21,ORB,4.48013,MAT_FLANN,SEL_KNN,0.648989,15
HARRIS,22.1703,26,ORB,4.14477,MAT_FLANN,SEL_KNN,0.632931,17
HARRIS,31.7767,43,ORB,3.30225,MAT_FLANN,SEL_KNN,0.597418,20
HARRIS,20.3873,18,ORB,7.02452,MAT_FLANN,SEL_KNN,0.977,18
HARRIS,21.2773,31,ORB,5.43125,MAT_FLANN,SEL_KNN,0.809726,12
HARRIS,22.5197,26,ORB,5.25676,MAT_FLANN,SEL_KNN,0.737667,21
HARRIS,29.2855,34,ORB,5.40367,MAT_FLANN,SEL_KNN,0.792604,20
