Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
ORB,61.2233,91,SIFT,67.6544,ORB,10.1306,102,SIFT,62.538,MAT_FLANN,SEL_KNN,2.31825,66
ORB,8.11125,106,SIFT,70.1637,MAT_FLANN,SEL_KNN,2.33005,79
ORB,12.713,113,SIFT,75.6046,MAT_FLANN,SEL_KNN,2.40457,79
ORB,8.87645,109,SIFT,86.6027,MAT_FLANN,SEL_KNN,3.09041,79
ORB,18.1499,124,SIFT,77.8647,MAT_FLANN,SEL_KNN,4.01938,82
ORB,15.7989,129,SIFT,124.754,MAT_FLANN,SEL_KNN,3.32494,93
ORB,13.4979,127,SIFT,75.0221,MAT_FLANN,SEL_KNN,3.46969,94
ORB,13.6774,124,SIFT,73.1996,MAT_FLANN,SEL_KNN,3.28002,93
ORB,8.36903,125,SIFT,72.482,MAT_FLANN,SEL_KNN,3.02343,92
