Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
ORB,97.779,91,BRIEF,7.67862,ORB,15.9134,102,BRIEF,0.807471,MAT_FLANN,SEL_KNN,10.3553,38
ORB,11.2967,106,BRIEF,0.570097,MAT_FLANN,SEL_KNN,1.46384,38
ORB,14.4044,113,BRIEF,1.17178,MAT_FLANN,SEL_KNN,2.17964,40
ORB,14.1638,109,BRIEF,0.567982,MAT_FLANN,SEL_KNN,1.45439,53
ORB,14.9951,124,BRIEF,1.65834,MAT_FLANN,SEL_KNN,2.18071,42
ORB,14.7733,129,BRIEF,0.651521,MAT_FLANN,SEL_KNN,1.99841,61
ORB,10.8854,127,BRIEF,0.78657,MAT_FLANN,SEL_KNN,1.93378,59
ORB,9.22507,124,BRIEF,1.07017,MAT_FLANN,SEL_KNN,2.37577,63
ORB,11.5537,125,BRIEF,1.38133,MAT_FLANN,SEL_KNN,2.48811,60
