Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
AKAZE,149.621,162,ORB,14.6936,AKAZE,103.968,157,ORB,10.9782,MAT_BF,SEL_KNN,4.27717,127
AKAZE,111.1,159,ORB,11.7765,MAT_BF,SEL_KNN,0.930881,128
AKAZE,105.747,154,ORB,13.3908,MAT_BF,SEL_KNN,0.647888,127
AKAZE,104.61,162,ORB,10.7576,MAT_BF,SEL_KNN,0.646143,114
AKAZE,113.315,163,ORB,9.86618,MAT_BF,SEL_KNN,1.62736,131
AKAZE,120.404,173,ORB,13.7433,MAT_BF,SEL_KNN,0.916919,132
AKAZE,134.986,175,ORB,10.3853,MAT_BF,SEL_KNN,0.646608,136
AKAZE,190.423,175,ORB,10.5396,MAT_BF,SEL_KNN,0.734475,138
AKAZE,122.268,175,ORB,14.3283,MAT_BF,SEL_KNN,0.769309,144
