Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
BRISK,264.274,254,ORB,28.5791,BRISK,202.391,274,ORB,12.7262,MAT_BF,SEL_NN,4.11946,254
BRISK,204.582,276,ORB,16.8353,MAT_BF,SEL_NN,2.74792,274
BRISK,206.964,275,ORB,12.805,MAT_BF,SEL_NN,0.974615,276
BRISK,200.733,293,ORB,12.6657,MAT_BF,SEL_NN,0.993754,275
BRISK,202.645,275,ORB,13.5026,MAT_BF,SEL_NN,1.10648,293
BRISK,231.874,289,ORB,11.5413,MAT_BF,SEL_NN,1.09726,275
BRISK,206.369,268,ORB,12.6,MAT_BF,SEL_NN,0.986786,289
BRISK,201.868,259,ORB,12.8352,MAT_BF,SEL_NN,0.969438,268
BRISK,239.387,250,ORB,20.0723,MAT_BF,SEL_NN,1.48916,259
