Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
FAST,9.68266,419,SIFT,56.3981,FAST,2.03197,427,SIFT,38.0572,MAT_FLANN,SEL_NN,17.9819,419
FAST,2.86733,404,SIFT,37.6395,MAT_FLANN,SEL_NN,7.92392,427
FAST,1.83983,423,SIFT,34.4234,MAT_FLANN,SEL_NN,6.96164,404
FAST,1.88846,386,SIFT,32.796,MAT_FLANN,SEL_NN,6.68574,423
FAST,1.84955,414,SIFT,34.4431,MAT_FLANN,SEL_NN,6.65237,386
FAST,1.86797,418,SIFT,34.2282,MAT_FLANN,SEL_NN,8.35401,414
FAST,1.88822,406,SIFT,39.0095,MAT_FLANN,SEL_NN,8.07621,418
FAST,1.82906,396,SIFT,39.7508,MAT_FLANN,SEL_NN,7.33399,406
FAST,1.87386,401,SIFT,33.1814,MAT_FLANN,SEL_NN,6.6036,396
