Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
SHITOMASI,45.9657,125,SIFT,46.1266,SHITOMASI,19.8951,118,SIFT,23.3756,MAT_FLANN,SEL_NN,10.3267,125
SHITOMASI,17.7627,123,SIFT,21.9606,MAT_FLANN,SEL_NN,2.52402,118
SHITOMASI,19.0165,120,SIFT,25.2189,MAT_FLANN,SEL_NN,3.12729,123
SHITOMASI,16.9442,120,SIFT,22.0205,MAT_FLANN,SEL_NN,2.42073,120
SHITOMASI,14.8864,113,SIFT,21.0624,MAT_FLANN,SEL_NN,1.95682,120
SHITOMASI,17.479,114,SIFT,23.0576,MAT_FLANN,SEL_NN,2.6,113
SHITOMASI,15.6191,123,SIFT,22.3692,MAT_FLANN,SEL_NN,2.676,114
SHITOMASI,15.8878,111,SIFT,20.4656,MAT_FLANN,SEL_NN,1.88758,123
SHITOMASI,17.0647,112,SIFT,20.6084,MAT_FLANN,SEL_NN,3.99249,111
