Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
HARRIS,89.6622,17,ORB,47.353,HARRIS,49.6073,14,ORB,13.558,MAT_BF,SEL_KNN,4.87095,12
HARRIS,47.0296,18,ORB,62.8107,MAT_BF,SEL_KNN,0.186328,13
HARRIS,56.1151,21,ORB,13.4632,MAT_BF,SEL_KNN,0.198185,16
HARRIS,37.035,26,ORB,15.3717,MAT_BF,SEL_KNN,0.302217,18
HARRIS,51.3792,43,ORB,6.58976,MAT_BF,SEL_KNN,0.191525,24
HARRIS,25.2383,18,ORB,10.1636,MAT_BF,SEL_KNN,0.30571,18
HARRIS,36.3579,31,ORB,9.1321,MAT_BF,SEL_KNN,0.196448,15
HARRIS,32.8409,26,ORB,9.35254,MAT_BF,SEL_KNN,0.150875,24
HARRIS,41.5798,34,ORB,6.62985,MAT_BF,SEL_KNN,0.181943,20
