Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
HARRIS,91.9063,17,ORB,35.064,HARRIS,60.9111,14,ORB,10.5341,MAT_BF,SEL_NN,13.5934,17
HARRIS,43.376,18,ORB,13.5169,MAT_BF,SEL_NN,0.201825,14
HARRIS,37.6478,21,ORB,11.6419,MAT_BF,SEL_NN,0.125067,18
HARRIS,37.2519,26,ORB,10.4728,MAT_BF,SEL_NN,0.348805,21
HARRIS,66.65,43,ORB,11.4563,MAT_BF,SEL_NN,0.189905,26
HARRIS,40.9416,18,ORB,12.0208,MAT_BF,SEL_NN,0.24498,43
HARRIS,34.1833,31,ORB,10.1716,MAT_BF,SEL_NN,0.229155,18
HARRIS,34.9156,26,ORB,7.73306,MAT_BF,SEL_NN,0.21219,31
HARRIS,46.7529,34,ORB,6.66092,MAT_BF,SEL_NN,0.158342,26
