Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
FAST,5.94484,419,BRIEF,13.8406,FAST,4.03597,427,BRIEF,2.1788,MAT_BF,SEL_NN,6.1286,419
FAST,2.73797,404,BRIEF,3.0158,MAT_BF,SEL_NN,2.82984,427
FAST,2.94413,423,BRIEF,3.39481,MAT_BF,SEL_NN,2.48847,404
FAST,2.53684,386,BRIEF,1.33285,MAT_BF,SEL_NN,2.13372,423
FAST,2.25244,414,BRIEF,1.77102,MAT_BF,SEL_NN,1.60985,386
FAST,2.42949,418,BRIEF,1.46002,MAT_BF,SEL_NN,2.15432,414
FAST,2.35055,406,BRIEF,1.63187,MAT_BF,SEL_NN,3.75776,418
FAST,2.47474,396,BRIEF,2.98633,MAT_BF,SEL_NN,2.83743,406
FAST,3.25335,401,BRIEF,1.92639,MAT_BF,SEL_NN,2.34524,396
