Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
FAST,6.90098,419,BRIEF,10.3499,FAST,3.46047,427,BRIEF,2.04572,MAT_FLANN,SEL_KNN,25.0307,319
FAST,3.12019,404,BRIEF,2.41153,MAT_FLANN,SEL_KNN,19.756,330
FAST,3.51302,423,BRIEF,1.7092,MAT_FLANN,SEL_KNN,21.2502,298
FAST,2.57432,386,BRIEF,2.06058,MAT_FLANN,SEL_KNN,16.7685,331
FAST,2.06656,414,BRIEF,2.39821,MAT_FLANN,SEL_KNN,16.4486,277
FAST,2.05848,418,BRIEF,2.60809,MAT_FLANN,SEL_KNN,17.5891,326
FAST,2.38969,406,BRIEF,2.45861,MAT_FLANN,SEL_KNN,18.8729,323
FAST,3.03563,396,BRIEF,2.00686,MAT_FLANN,SEL_KNN,18.1008,316
FAST,3.23243,401,BRIEF,2.09802,MAT_FLANN,SEL_KNN,20.2273,306
