Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
SHITOMASI,79.5782,125,ORB,10.5536,SHITOMASI,55.3436,118,ORB,13.3182,MAT_BF,SEL_NN,3.79794,125
SHITOMASI,39.0398,123,ORB,11.1127,MAT_BF,SEL_NN,0.58196,118
SHITOMASI,72.1627,120,ORB,11.4734,MAT_BF,SEL_NN,0.760317,123
SHITOMASI,32.9773,120,ORB,21.6246,MAT_BF,SEL_NN,0.731268,120
SHITOMASI,54.5011,113,ORB,9.28434,MAT_BF,SEL_NN,0.594608,120
SHITOMASI,51.169,114,ORB,9.35782,MAT_BF,SEL_NN,0.623995,113
SHITOMASI,29.3532,123,ORB,10.6759,MAT_BF,SEL_NN,0.557235,114
SHITOMASI,26.3459,111,ORB,12.5655,MAT_BF,SEL_NN,2.55523,123
SHITOMASI,42.649,112,ORB,14.2011,MAT_BF,SEL_NN,1.05396,111
