Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
SIFT,177.08,137,BRIEF,2.14911,SIFT,133.783,131,BRIEF,1.94371,MAT_FLANN,SEL_KNN,7.298,63
SIFT,158.046,121,BRIEF,1.81724,MAT_FLANN,SEL_KNN,1.84757,70
SIFT,134.239,135,BRIEF,2.07513,MAT_FLANN,SEL_KNN,1.55479,60
SIFT,135.069,134,BRIEF,2.12223,MAT_FLANN,SEL_KNN,1.6947,65
SIFT,138.638,139,BRIEF,1.87113,MAT_FLANN,SEL_KNN,1.65941,52
SIFT,147.37,136,BRIEF,1.81965,MAT_FLANN,SEL_KNN,1.72016,60
SIFT,141.109,147,BRIEF,1.898,MAT_FLANN,SEL_KNN,1.69368,70
SIFT,146.2,156,BRIEF,2.14694,MAT_FLANN,SEL_KNN,1.88399,69
SIFT,148.967,135,BRIEF,3.00127,MAT_FLANN,SEL_KNN,2.3722,84
