Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
SIFT,190.284,137,BRIEF,9.18118,SIFT,136.945,131,BRIEF,2.18251,MAT_BF,SEL_NN,4.16952,137
SIFT,141.586,121,BRIEF,2.14835,MAT_BF,SEL_NN,0.349224,131
SIFT,143.866,135,BRIEF,2.44334,MAT_BF,SEL_NN,0.611274,121
SIFT,170.325,134,BRIEF,2.47598,MAT_BF,SEL_NN,0.765474,135
SIFT,149.835,139,BRIEF,2.12099,MAT_BF,SEL_NN,0.468765,134
SIFT,151.575,136,BRIEF,2.43012,MAT_BF,SEL_NN,0.347137,139
SIFT,150.041,147,BRIEF,2.78313,MAT_BF,SEL_NN,0.382361,136
SIFT,152.808,156,BRIEF,3.62305,MAT_BF,SEL_NN,0.553892,147
SIFT,156.217,135,BRIEF,2.0088,MAT_BF,SEL_NN,0.364816,156
