Detector Type, Detector Time, #KP, Descriptor Type, Descriptor Time, Matcher Type, Selector Type, Matching Time, #Matched KP
ORB,281.648,91,BRIEF,44.8144,ORB,17.8007,102,BRIEF,0.846192,MAT_FLANN,SEL_NN,20.4635,91
ORB,13.1748,106,BRIEF,1.4987,MAT_FLANN,SEL_NN,2.86037,102
ORB,15.4508,113,BRIEF,3.77533,MAT_FLANN,SEL_NN,3.8657,106
ORB,17.5371,109,BRIEF,1.1794,MAT_FLANN,SEL_NN,2.01132,113
ORB,12.6115,124,BRIEF,3.16105,MAT_FLANN,SEL_NN,26.0356,109
ORB,21.2243,129,BRIEF,4.4796,MAT_FLANN,SEL_NN,9.56531,124
ORB,19.1223,127,BRIEF,0.956625,MAT_FLANN,SEL_NN,2.63181,129
ORB,12.6457,124,BRIEF,1.13864,MAT_FLANN,SEL_NN,6.02316,127
ORB,12.7943,125,BRIEF,1.36624,MAT_FLANN,SEL_NN,2.02173,124
