,Detector Type,Detector Time,#KP,Descriptor Type,Descriptor Time,Matcher Type,Selector Type,Matching Time,#Matched KP
1,SIFT,125.744,135,SIFT,83.8803,MAT_BF,SEL_KNN,0.489554,83
2,SIFT,127.87799999999999,134,SIFT,81.1459,MAT_BF,SEL_KNN,0.5346989999999999,92
3,SIFT,127.45,139,SIFT,81.5677,MAT_BF,SEL_KNN,0.533309,90
4,SIFT,127.935,136,SIFT,82.5541,MAT_BF,SEL_KNN,0.535501,82
5,SIFT,134.567,147,SIFT,84.008,MAT_BF,SEL_KNN,0.622749,82
6,SIFT,125.969,156,SIFT,84.1527,MAT_BF,SEL_KNN,0.623162,100
7,SIFT,131.159,135,SIFT,82.4273,MAT_BF,SEL_KNN,0.596507,101
0,BRISK,339.606,276,SIFT,89.5518,MAT_FLANN,SEL_NN,7.31033,274
1,BRISK,403.44800000000004,275,SIFT,109.404,MAT_FLANN,SEL_NN,7.3528,276
2,BRISK,379.61400000000003,293,SIFT,125.09700000000001,MAT_FLANN,SEL_NN,8.94871,275
3,BRISK,672.539,275,SIFT,101.891,MAT_FLANN,SEL_NN,53.8402,293
4,BRISK,1209.9,289,SIFT,128.128,MAT_FLANN,SEL_NN,10.0962,275
5,BRISK,705.8860000000001,268,SIFT,160.22299999999998,MAT_FLANN,SEL_NN,59.2758,289
6,BRISK,496.039,259,SIFT,108.911,MAT_FLANN,SEL_NN,17.7302,268
7,BRISK,356.967,250,SIFT,110.65899999999999,MAT_FLANN,SEL_NN,6.5582,259
0,FAST,4.08703,404,BRIEF,2.48948,MAT_BF,SEL_KNN,3.3540900000000002,332
1,FAST,5.02672,423,BRIEF,2.63272,MAT_BF,SEL_KNN,2.35324,299
2,FAST,3.45344,386,BRIEF,1.20331,MAT_BF,SEL_KNN,2.25988,331
3,FAST,2.72548,414,BRIEF,1.9342700000000002,MAT_BF,SEL_KNN,2.73124,276
4,FAST,3.6661599999999996,418,BRIEF,1.74987,MAT_BF,SEL_KNN,2.5403700000000002,327
